qid,question,question_context,no_rag_llm_answer,no_rag_f1,no_rag_precision,no_rag_recall
5a6395e668151a001a9223a0,What is the weather type of Hopetoun and Melbourne?,"is very rare in the Southwest of the state, it occurs on the Southeast of the state. temperature since World War II, of 48.8 °C (119.8 °F) was recorded in Hopetoun on 7 February 2009, during the 2009 southeastern Australia heat wave. It is common for thunderstorms to erupt during a typical summer afternoon. These are caused by the rapid heating of the land relative to the water, combined with extremely high humidity.","Not available, as locations not specified in data.",0.0,0.0,0.0
5733e5a14776f4190066145c,Who was given land by British goovernment for development of Ohio Country?,"fear that the French, who had been exploring the area, might establish their own settlement and thereby challenge British rights to the continent. me to retire, I do not think myself obliged to obey it."" He told Washington that France's claim to the region was superior to that of the British, since René-Robert Cavelier, Sieur de La Salle had explored the Ohio Country nearly a century earlier. much of present-day Upstate New York and the Ohio Country, although the latter also included Algonquian-speaking populations of Delaware and Shawnee, as well as Iroquoian-speaking Mingo. These tribes were formally under Iroquois rule, and were limited by them in authority to make agreements.","Iroquois Confederacy, led by Cornplanter.",0.0,0.0,0.0
57308f6b8ab72b1400f9c580,Orientalism refers to how the West developed a what of the East?,"degeneracy. The people of these climates were believed to be in need of guidance and intervention from the European empire to aid in the governing of a more evolved social structure; they were seen as incapable of such a feat. Similarly, orientalism is a view of a people based on their geographical location. and ideas that rationalized social, cultural, political, and economic control of other territories. of domination and subordination organised with an imperial center and a periphery.",Romanticized stereotype or exaggerated image.,0.0,0.0,0.0
571114cfb654c5140001fb0d,The practice of occupying and looting Huguenot homes was called?,"the occupation and looting of Huguenot homes by military troops, in an effort to forcibly convert them. In 1685, he issued the Edict of Fontainebleau, revoking the Edict of Nantes and declaring Protestantism illegal.[citation needed] was built and the university and consulate were taken over by the Catholic party. Even before the Edict of Alès (1629), Protestant rule was dead and the ville de sûreté was no more.[citation needed] Paris, the killings continued until 3 October. An amnesty granted in 1573 pardoned the perpetrators.[citation needed]",Dragonnades.,100.0,100.0,100.0
5acfec5577cf76001a6864ff, What sin were the leaders the extremists attacked innocent of?,"that Shia and other non-Wahhabi Muslims were infidels, etc. While this effort has by no means converted all, or even most Muslims to the Wahhabist interpretation of Islam, it has done much to overwhelm more moderate local interpretations, and has set the Saudi-interpretation of Islam as the ""gold standard"" of religion in minds of some or many Muslims. tourists in Egypt, a bloody civil war in Algeria and Osama bin Laden's terror attacks climaxing in the 9/11 attack. as calling for violent/offensive jihad or urging and conducting attacks on a religious basis.","None, they were targeted for their moderate views.",0.0,0.0,0.0
570d50a5fed7b91900d45e80,How much land do farms use in Victoria?,"land surface. Victorian farms range from small horticultural outfits to large-scale livestock and grain productions. A quarter of farmland is used to grow consumable crops. tonnes of barley. Victorian farms produce nearly 90% of Australian pears and third of apples. It is also a leader in stone fruit production. The main vegetable crops include asparagus, broccoli, carrots, potatoes and tomatoes. Last year, 121,200 tonnes of pears and 270,000 tonnes of tomatoes were produced. and New York) with large differences in household income.",Approximately 76% of Victoria's agricultural land is used by farms.,0.0,0.0,0.0
5729f4b41d0469140077968d,The receptors on a killer T cell must bind to how many MHC: antigen complexes in order to activate the cell?,"activation signal, or additional activation signals provided by ""helper"" T cells (see below). cell's surface, such as CD40 ligand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells. presentation reflect the different roles of the two types of T cell. A third, minor subtype are the γδ T cells that recognize intact antigens that are not bound to MHC receptors.",Two MHC-antigen complexes.,33.33333333333333,33.33333333333333,33.33333333333333
5ad56ef05b96ef001a10aeab,What do SAT solvers not usually handle when testing?,"few NP problems not known to be in P or to be NP-complete. notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary. complexity, circuit complexity, and decision tree complexity.",Unsatisfiable formulas or very large problem instances.,0.0,0.0,0.0
571cd88ddd7acb1400e4c18f,What type of reaction is present in the emergency oxygen generator of an airplane?,"of oxygen gas is then produced by the exothermic reaction. in combustion. Combustion hazards also apply to compounds of oxygen with a high oxidative potential, such as peroxides, chlorates, nitrates, perchlorates, and dichromates because they can donate oxygen to a fire. 2 molecule is referred to as triplet oxygen.[b] The highest energy, partially filled orbitals are antibonding, and so their filling weakens the bond order from three to two. Because of its unpaired electrons, triplet oxygen reacts only slowly with most organic molecules, which have paired electron spins; this prevents spontaneous combustion.","Electrolytic oxidation, also known as electrolysis.",0.0,0.0,0.0
572fadcbb2c2fd140056832b,How did trying to establish a devolved Scottish Assembly go in 1979?,"The plan that the delegates agreed to was never ratified by the colonial legislatures nor approved of by the crown. Nevertheless, the format of the congress and many specifics of the plan became the prototype for confederation during the War of Independence. tourists in Egypt, a bloody civil war in Algeria and Osama bin Laden's terror attacks climaxing in the 9/11 attack. County. The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote.","Failed, as Parliament vetoed proposed Scotland Act.",25.0,14.285714285714285,100.0
5ad4c94f5b96ef001a10a09c,What are the least important mediators in the activation of the adaptive immune system?,"activation signal, or additional activation signals provided by ""helper"" T cells (see below). larger pathogens through contact or by engulfing and then killing microorganisms. Innate cells are also important mediators in the activation of the adaptive immune system. Dendritic cells serve as a link between the bodily tissues and the innate and adaptive immune systems, as they present antigens to T cells, one of the key cell types of the adaptive immune system.",Toll-like receptors (TLRs) and CD1 molecules.,0.0,0.0,0.0
5737aafd1c456719005744fd,What is a very seldom used unit of mass in the metric system?,"to a force of 1 kgf. The kilogram-force is not a part of the modern SI system, and is generally deprecated; however it still sees use for some purposes as expressing aircraft weight, jet thrust, bicycle spoke tension, torque wrench settings and engine output torque. Other arcane units of force include the sthène, which is equivalent to 1000 N, and the kip, which is equivalent to 1000 lbf. law as an equality; the relative units of force and mass then are fixed. work done on the load is the same no matter how complicated the machine.",The microgram.,0.0,0.0,0.0
5ad4fd0f5b96ef001a10a898,What is one of the largest and most modern oncological institutions in Curie?,"modern oncological institutions in Europe. The clinical section is located in a 10-floor building with 700 beds, 10 operating theatres, an intensive care unit, several diagnostic departments as well as an outpatient clinic. The infrastructure has developed a lot over the past years. also two botanic gardens: by the Łazienki park (a didactic-research unit of the University of Warsaw) as well as by the Park of Culture and Rest in Powsin (a unit of the Polish Academy of Science). the Brühl Palace, the most distinctive buildings in prewar Warsaw.","Institut Curie, a leading cancer research and treatment center.",0.0,0.0,0.0
5ad3b6d8604f3c001a3fedfc,Who refused to act until Loudoun disapproved plans?,"County. The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote. prominent citizens dating back more than three centuries. fear that the French, who had been exploring the area, might establish their own settlement and thereby challenge British rights to the continent.","George Washington refused to act, awaiting Loudoun's approval.",0.0,0.0,0.0
5705ffde52bb891400689785,What magnitude of earthquake can many faults produce?,"Many faults are able to produce a magnitude 6.7+ earthquake, such as the San Andreas Fault, which can produce a magnitude 8.0 event. Other faults include the San Jacinto Fault, the Puente Hills Fault, and the Elsinore Fault Zone. The USGS has released a California Earthquake forecast which models Earthquake occurrence in California. folds in order to reconstruct the history of rock deformation in the area. In addition, they perform analog and numerical experiments of rock deformation in large and small settings. not cut must be younger than the fault. Finding the key bed in these situations may help determine whether the fault is a normal fault or a thrust fault.",Magnitude 7 or greater.,0.0,0.0,0.0
5ad4f4405b96ef001a10a781,What are bacteria unable to secrete?,"components (molecules) found in the organism’s “humors” rather than its cells. in this systemic response as they can block virus replication. cell's surface, such as CD40 ligand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells.",Bacteria cannot secrete antibodies.,0.0,0.0,0.0
5a638bf768151a001a922367,How much land do farms crop rotate each year in Victoria?,"tonnes of barley. Victorian farms produce nearly 90% of Australian pears and third of apples. It is also a leader in stone fruit production. The main vegetable crops include asparagus, broccoli, carrots, potatoes and tomatoes. Last year, 121,200 tonnes of pears and 270,000 tonnes of tomatoes were produced. land surface. Victorian farms range from small horticultural outfits to large-scale livestock and grain productions. A quarter of farmland is used to grow consumable crops. for Brazil from logging rainforest zones and converting these to pastoral fields.","Approximately 1.5 million hectares annually, according to data.",0.0,0.0,0.0
5a38c6bca4b263001a8c1918,When was Israel declared a nonfriendly country?,"December, causing a panic. On November 22, Japan issued a statement ""asserting that Israel should withdraw from all of the 1967 territories, advocating Palestinian self-determination, and threatening to reconsider its policy toward Israel if Israel refused to accept these preconditions"". By December 25, Japan was considered an Arab-friendly state. tourists in Egypt, a bloody civil war in Algeria and Osama bin Laden's terror attacks climaxing in the 9/11 attack. faced partial cutbacks. The UK had traditionally been an ally of Israel, and Harold Wilson's government supported the Israelis during the Six-Day War. His successor, Ted Heath, reversed this policy in 1970, calling for Israel to withdraw to its pre-1967 borders.",I'm not aware of such declaration.,0.0,0.0,0.0
5a38bf63a4b263001a8c18f9,What did the Department of Energy end in 1974?,"energies. The rule had been intended to promote oil exploration. Scarcity was addressed by rationing (as in many countries). Motorists faced long lines at gas stations beginning in summer 1972 and increasing by summer 1973. Israel and Syria was enough to convince Arab oil producers to lift the embargo in March 1974. at gasoline stations were common. The American Automobile Association reported that in the last week of February 1974, 20% of American gasoline stations had no fuel.","Project Plowshare, a nuclear bomb testing program.",0.0,0.0,0.0
572a10cd6aef051400155224,What is the study of proteins involved in immune response known as?,covers the study of all aspects of the immune system. been established for the cataloguing of epitopes from pathogens known to be recognizable by B cells. The emerging field of bioinformatics-based studies of immunogenicity is referred to as immunoinformatics. Immunoproteomics is the study of large sets of proteins (proteomics) involved in the immune response. as an adaptation to infection with that pathogen and prepares the immune system for future challenges. Immunological memory can be in the form of either passive short-term memory or active long-term memory.,Immunology.,0.0,0.0,0.0
5ad41813604f3c001a4003dd,How was the efficiency of a concept engine typically evaluated?,"mechanical in nature. The thermodynamic concepts of the Rankine cycle did give engineers the understanding needed to calculate efficiency which aided the development of modern high-pressure and -temperature boilers and the steam turbine. efficiency for a real cycle. The benefit of this is lost somewhat due to the lower heat addition temperature. Gas turbines, for instance, have turbine entry temperatures approaching 1500 °C. Nonetheless, the efficiencies of actual large steam cycles and large modern gas turbines are fairly well matched.[citation needed] and improvements in manufacturing techniques (partly brought about by the adoption of the steam engine as a power source) resulted in the design of more efficient engines that could be smaller, faster, or more powerful, depending on the intended application.","Through performance metrics, such as fuel consumption and speed.",0.0,0.0,0.0
5ad2b3bcd7d075001a429fa7,What legion did the Romans enter from the other side of the empire?,"The Germanic populations of these lands seem in Roman times to have been scanty, and Roman subjects from the modern Alsace-Lorraine had drifted across the river eastwards. would distract Germany from its central interest, Europe itself. troops); two legions at oppidum Ubiorum (""town of the Ubii""), which was renamed to Colonia Agrippina, descending to Cologne, V Alaudae, a Celtic legion recruited from Gallia Narbonensis and XXI, possibly a Galatian legion from the other side of the empire.","The Roman legions crossed into Gaul, then Germania.",0.0,0.0,0.0
5725cc38ec44d21400f3d5bf,Which country in 1985 signed a treaty to give it special status?,"Cambodia, Myanmar, the Philippines, Indonesia, part of New Guinea and some islands of the Pacific Ocean. Japan also invaded Thailand, pressuring the country into a Thai/Japanese alliance. Its colonial ambitions were ended by the victory of the United States in the Second World War and the following treaties which remanded those territories to American administration or their original owners. would distract Germany from its central interest, Europe itself. also operates or has affiliates in other parts of the world, including North Africa and South Asia.","Japan, with the US-Japan Security Treaty.",0.0,0.0,0.0
572869b84b864d19001649ae,What did Kublai's government have to balance between?,"rule by integrating the government into the narrative of traditional Chinese political succession. Khublai evoked his public image as a sage emperor by following the rituals of Confucian propriety and ancestor veneration, while simultaneously retaining his roots as a leader from the steppes. were short and marked by intrigues and rivalries. Uninterested in administration, they were separated from both the army and the populace, and China was torn by dissension and unrest. Outlaws ravaged the country without interference from the weakening Yuan armies. within the classes was not a guarantee of their standing, since there were rich and well socially standing Chinese while there were less rich Mongol and Semu than there were Mongol and Semu who lived in poverty and were ill treated.",Central authority vs local autonomy in Mongol Empire.,20.0,25.0,16.666666666666664
5a7b0e2221c2de001afe9d16,What was Fulton Mall renamed as?,"for the $2.25 billion package of major projects that included road & infrastructure improvements, environmental preservation, targeted economic development and new or improved public facilities. prominent citizens dating back more than three centuries. a collapse), or that the custom is no longer needed (acceptance of live-work spaces has grown in the community).",It is now known as Downtown Mall.,0.0,0.0,0.0
5a6ce2ec4eec6b001a80a678,What types of pharmacy functions have never been outsourced?,"functions to companies who specialize in compounding. The high cost of medications and drug-related technology, combined with the potential impact of medications and pharmacy services on patient-care outcomes and patient safety, make it imperative that hospital pharmacies perform at the highest level possible. with patients, under the banner of ""senior care pharmacy."" is growing quickly to meet the needs of major national and international patient information projects and health system interoperability goals. Pharmacists in this area are trained to participate in medication management system development, deployment and optimization.","Dispensing medications, patient counseling, and clinical decision-making.",0.0,0.0,0.0
5a3e2dc0378766001a0024c7,What session did the IPCC panel attend before the opening ceremonies?,"of participants being from governmental organizations. to dumping it in favor of a small permanent body, or even turning the whole climate science assessment process into a moderated ""living"" Wikipedia-IPCC. Other recommendations included that the panel employ a full-time staff and remove government oversight from its processes to avoid political interference. in May 2002; Robert Watson in 1997; and Bert Bolin in 1988. The chair is assisted by an elected bureau including vice-chairs, working group co-chairs, and a secretariat.",The IPCC panel attended a science session.,0.0,0.0,0.0
57261dab38643c19005ad03b,What is a fundamentalist interpretation of Islam called?,"interested in spreading ""an idealized and systematized version of conservative tribal village customs"" under the label of Sharia to an entire country. Their ideology was also described as being influenced by Wahhabism, and the extremist jihadism of their guest Osama bin Laden. that Shia and other non-Wahhabi Muslims were infidels, etc. While this effort has by no means converted all, or even most Muslims to the Wahhabist interpretation of Islam, it has done much to overwhelm more moderate local interpretations, and has set the Saudi-interpretation of Islam as the ""gold standard"" of religion in minds of some or many Muslims. socialist and nationalist politics ensued. Ba'athism, Arab socialism, and Arab nationalism suffered, and different democratic and anti-democratic Islamist movements inspired by Maududi and Sayyid Qutb gained ground.","Salafism or Wahhabism, in some contexts.",28.57142857142857,16.666666666666664,100.0
57297a276aef051400154f8c,Of what form do Mersenne primes take?,"believed to be correct. In particular, the simplest assumption is that primes should have no significant irregularities without good reason. The Lucas–Lehmer test is particularly fast for numbers of this form. This is why the largest known prime has almost always been a Mersenne prime since the dawn of electronic computers. 1 is not a prime number, but rather forms its own special category as a ""unit"".",They are prime numbers with a specific formula (2^n - 1).,40.0,33.33333333333333,50.0
5726581fdd62a815002e823b,Which country's cars became more highly sought after as they were more fuel efficient?,"The crisis reduced the demand for large cars. Japanese imports, primarily the Toyota Corona, the Toyota Corolla, the Datsun B210, the Datsun 510, the Honda Civic, the Mitsubishi Galant (a captive import from Chrysler sold as the Dodge Colt), the Subaru DL, and later the Honda Accord all had four cylinder engines that were more fuel efficient than the typical American V8 and six cylinder engines. Carlo, Ford Thunderbird and various other models sold well. the American makers introduced their domestic replacements (Ford Ranger, Dodge Dakota and the Chevrolet S10/GMC S-15), ending their captive import policy.",Japanese cars gained popularity due to efficiency.,25.0,14.285714285714285,100.0
5ad28a54d7d075001a4299aa,What ends in the same delta?,"2 are covered in the remainder of this article. bounded, some of these may be more powerful than others. the Rhine flows into Lake Constance, so it is clearer to call the larger one Rhine-Meuse delta, or even Rhine–Meuse–Scheldt delta, as the Scheldt ends in the same delta.",A river ends with a similar delta.,0.0,0.0,0.0
57293e221d046914007791d7,How much of the greenhouse effect is due to carbon dioxide?,"The executive summary of the WG I Summary for Policymakers report says they are certain that emissions resulting from human activities are substantially increasing the atmospheric concentrations of the greenhouse gases, resulting on average in an additional warming of the Earth's surface. They calculate with confidence that CO2 has been responsible for over half the enhanced greenhouse effect. drought was focused on the southwestern part. The findings were published in the journal Science. In a typical year the Amazon absorbs 1.5 gigatons of carbon dioxide; during 2005 instead 5 gigatons were released and in 2010 8 gigatons were released. years studied, the actual temperature rise was near the top end of the range given by IPCC's 2001 projection, and the actual sea level rise was above the top of the range of the IPCC projection.",About 65% of human-caused GHG emissions.,0.0,0.0,0.0
5ad02d3077cf76001a686cf7, What is Cultural Imperialism never referred to as?,"and ideas that rationalized social, cultural, political, and economic control of other territories. of domination and subordination organised with an imperial center and a periphery. There are ""formal"" or ""informal"" imperialisms. ""Formal imperialism"" is defined as ""physical control or full-fledged colonial rule"". ""Informal imperialism"" is less direct; however, it is still a powerful form of dominance.","Cultural Imperialism is never referred to as ""cultural exchange"".",0.0,0.0,0.0
5ad5344b5b96ef001a10ab8a,What process classifies problems that can and cannot be solved with approximately unlimited resources?,"asks what kind of problems can, in principle, be solved algorithmically. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm. also used, such as the amount of communication (used in communication complexity), the number of gates in a circuit (used in circuit complexity) and the number of processors (used in parallel computing). One of the roles of computational complexity theory is to determine the practical limits on what computers can and cannot do.","Decision theory, specifically P versus NP problem.",0.0,0.0,0.0
5ad3a27c604f3c001a3fea32,When was Queen George's war?,"North American colonies had a population of roughly 60,000 European settlers, compared with 2 million in the British North American colonies. The outnumbered French particularly depended on the Indians. Long in conflict, the metropole nations declared war on each other in 1756, escalating the war from a regional affair into an intercontinental conflict. seconded by the Chevalier de Lévis and Colonel François-Charles de Bourlamaque, all experienced veterans from the War of the Austrian Succession. During that time in Europe, on May 18, 1756, England formally declared war on France, which expanded the war into Europe, which was later to be known as the Seven Years' War. The dispute erupted into violence in the Battle of Jumonville Glen in May 1754, during which Virginia militiamen under the command of 22-year-old George Washington ambushed a French patrol.",The War of the Austrian Succession (1740-1748).,0.0,0.0,0.0
56e1a0dccd28a01900c67a2f,"If two integers are multiplied and output a value, what is this expression set called?","whether a given triple is a member of this set corresponds to solving the problem of multiplying two numbers. input to the problem, and the solution is the output corresponding to the given input. problem for a graph with 2n vertices compared to the time taken for a graph with n vertices?",This expression set is called an equation.,22.22222222222222,16.666666666666664,33.33333333333333
5728455bff5b5019007da079,How much dust is blown out of the Sahara each year?,"eastern coast of South America, 27.7 million tons (15%) of dust fall over the Amazon basin, 132 million tons of dust remain in the air, 43 million tons of dust are windblown and falls on the Caribbean Sea, past 75 degrees west longitude. drought was focused on the southwestern part. The findings were published in the journal Science. In a typical year the Amazon absorbs 1.5 gigatons of carbon dioxide; during 2005 instead 5 gigatons were released and in 2010 8 gigatons were released. turned into savanna or desert, with catastrophic consequences for the world's climate.","About 100 billion tons, according to NASA estimates.",18.181818181818183,12.5,33.33333333333333
5728e3c33acd2414000e0132,What was the goal of this Roman disobedience?,"would distract Germany from its central interest, Europe itself. destruction of religious objects of any type, and its destabilisation of society resulted in rampant pillaging. as some of the Huguenots were nobles trying to establish separate centers of power in southern France. Retaliating against the French Catholics, the Huguenots had their own militia.",To overthrow Roman rule and establish a republic.,11.76470588235294,14.285714285714285,10.0
572869b84b864d19001649b2,Who would have been the lowest-ranked class?,"in the government, but their official rank was nebulous. in France became Catholics and were called ""new converts"". as better only because they lived in the capital. Unfortunately this belief still lives on in Poland (although not as much as it used to be) – even though since 1990 there are no limitations to residency registration anymore.","The Eunuchs, as they held no military power.",0.0,0.0,0.0
5a57ca90770dc0001aeefd74,What is another term for sea currents?,"energy between two different locations in space, and can be considered to be an artifact of the potential field in the same way that the direction and amount of a flow of water can be considered to be an artifact of the contour map of the elevation of an area. eastern coast of South America, 27.7 million tons (15%) of dust fall over the Amazon basin, 132 million tons of dust remain in the air, 43 million tons of dust are windblown and falls on the Caribbean Sea, past 75 degrees west longitude. into the large and small interior valleys, to the vast deserts of California.","Ocean tides or simply ""tidal"" movements.",0.0,0.0,0.0
5ad49c34ba00c4001a268d9a,What is the system of many biological structures and processes that protect an organism from cold?,"covers the study of all aspects of the immune system. cells send out alarm signals, many of which (but not all) are recognized by the same receptors as those that recognize pathogens. Innate immune defenses are non-specific, meaning these systems respond to pathogens in a generic way. This system does not confer long-lasting immunity against a pathogen. The innate immune system is the dominant system of host defense in most organisms. retained after the pathogen has been eliminated, in the form of an immunological memory, and allows the adaptive immune system to mount faster and stronger attacks each time this pathogen is encountered.","The system is called ""cold hardiness"".",0.0,0.0,0.0
5ad25f42d7d075001a428f75,Where are health and social problems least common?,"lower, population-wide satisfaction and happiness tend to be higher. and New York) with large differences in household income. countries, counting each person equally, life expectancy is lower in more unequal countries (r = -.907). A similar relationship exists among US states (r = -.620).",High-income countries with strong healthcare systems.,0.0,0.0,0.0
5a82237d31013a001a335245,How many people usually go to see Harvard sports teams play each year?,"Student Activities estimated that 8–10 percent of undergraduates were members of fraternities or sororities. The student activities office has used similar figures, stating that one in ten undergraduates participate in Greek life. to hundreds of millions of dollars supplemented by fundraising drives. Boarding schools with a reputation for quality in the United States have a student body drawn from throughout the country, indeed the globe, and a list of applicants which far exceeds their capacity. enrolls approximately 5,000 students in the College and around 15,000 students overall.","Approximately 18,000 students attend games per year.",0.0,0.0,0.0
5a38bd58a4b263001a8c18ed,What percentage of American gas stations were out of fuel in 1973?,"at gasoline stations were common. The American Automobile Association reported that in the last week of February 1974, 20% of American gasoline stations had no fuel. energies. The rule had been intended to promote oil exploration. Scarcity was addressed by rationing (as in many countries). Motorists faced long lines at gas stations beginning in summer 1972 and increasing by summer 1973. only fair that, from now on, you should pay more for oil. Let's say ten times more.""",About 50% due to 1973 oil embargo.,0.0,0.0,0.0
5a6ced7d4eec6b001a80a6e1,What is another country that doesn't permit physicians to give out drugs from within their practice?,"rather than consumers. There is no known case of any U.S. citizens buying Canadian drugs for personal use with a prescription, who has ever been charged by authorities. between a patient's home and the nearest retail pharmacy. This law also exists in Austria for general physicians if the nearest pharmacy is more than 4 kilometers away, or where none is registered in the city. Medical Association (AMA) Code of Ethics provides that physicians may dispense drugs within their office practices as long as there is no patient exploitation and patients have the right to a written prescription that can be filled elsewhere. 7 to 10 percent of American physicians practices reportedly dispense drugs on their own.",Japan has similar restrictions on physician-prescribed medications.,0.0,0.0,0.0
572fe53104bcaa1900d76e6a,Where was the Rhine regulated with an upper canal?,"The Upper Rhine region was changed significantly by a Rhine straightening program in the 19th Century. The rate of flow was increased and the ground water level fell significantly. Dead branches dried up and the amount of forests on the flood plains decreased sharply. On the French side, the Grand Canal d'Alsace was dug, which carries a significant part of the river water, and all of the traffic. level, this flow of the Rhine water is clearly visible along the entire length of the lake. eventually fell to France in the Thirty Years' War. The numerous historic castles in Rhineland-Palatinate attest to the importance of the river as a commercial route.",The Upper Rhine Canal in Germany.,0.0,0.0,0.0
5ad0285977cf76001a686c0e,Which building was vacated three times to allow for the meeting of the Church's General Assembly?,"This building was vacated twice to allow for the meeting of the Church's General Assembly. In May 2000, the Parliament was temporarily relocated to the former Strathclyde Regional Council debating chamber in Glasgow, and to the University of Aberdeen in May 2002. Parliament Square, High Street and George IV Bridge in Edinburgh (originally built as the headquarters of the pre-1975 Midlothian County Council) housed the Parliament's visitors' centre and shop, whilst the main hall was used as the Parliament's principal committee room. Commons, Hutchinson Hall, replicates Christ Church Hall.)",The U.S. Capitol Building in Washington D.C.,0.0,0.0,0.0
5a668ef8f038b7001ab0bfde,What did Ghandi decide to use so that everyone would have the same deal?,"of Anarchy to vast audiences during the campaign for a free India. and women's groups."" All this compares very favourably against incompetent, inefficient, or neglectful governments whose commitment to social justice is limited to rhetoric. But some activists have opted to enter a blind plea, pleading guilty without any plea agreement in place. Mohandas Gandhi pleaded guilty and told the court, ""I am here to . . . submit cheerfully to the highest penalty that can be inflicted upon me for what in law is a deliberate crime and what appears to me to be the highest duty of a citizen.""",He chose cotton loincloths for all Indians.,0.0,0.0,0.0
5acf9a5277cf76001a68541c,"Aside from 113 research institutes, how many research centers does the U of C operate?","of participants being from governmental organizations. 2 are covered in the remainder of this article. that can most convincingly claim to provide the most rigorous, intense learning experience.""",The University of Calgary operates 15 research centers.,0.0,0.0,0.0
5ad3a266604f3c001a3fea2b,What principality did William the conquerer found?,"and King Ethelred II of England. Because of this, Ethelred fled to Normandy in 1013, when he was forced from his kingdom by Sweyn Forkbeard. His stay in Normandy (until 1016) influenced him and his sons by Emma, who stayed in Normandy after Cnut the Great's conquest of the isle. as Dukes of Normandy, owed homage to the King of France for their land on the continent. They considered England to be their most important holding (it brought with it the title of King—an important status symbol). led to the Norman conquest of England at the Battle of Hastings in 1066. Norman cultural and military influence spread from these new European centres to the Crusader states of the Near East, where their prince Bohemond I founded the Principality of Antioch in the Levant, to Scotland and Wales in Great Britain, to Ireland, and to the coasts of north Africa and the Canary Islands.",The Principality of England.,0.0,0.0,0.0
5a2eb84ba83784001a7d241f,In what year did the Black Death originate in Central Asia?,"becoming attached to the mid 14th-century epidemic as a proper name. In England, it was not until 1823 that the medieval epidemic was first called the Black Death. The plague struck various countries in the Middle East during the pandemic, leading to serious depopulation and permanent change in both economic and social structures. As it spread to western Europe, the disease entered the region from southern Russia also. By autumn 1347, the plague reached Alexandria in Egypt, probably through the port's trade with Constantinople, and ports on the Black Sea. recovery had been observed at the beginning of the 14th century. In the 1330s a large number of natural disasters and plagues led to widespread famine, starting in 1331, with a deadly plague arriving soon after. Epidemics that may have included plague killed an estimated 25 million Chinese and other Asians during the 15 years before it reached Constantinople in 1347.",The Black Death originated around 1347 in Central Asia.,0.0,0.0,0.0
572a03086aef0514001551a4,What are two examples of cytotoxic or immunosuppressive drugs?,as cyclosporin prevent T cells from responding to signals correctly by inhibiting signal transduction pathways. the most effective manipulation of the immune system mankind has developed. in this systemic response as they can block virus replication.,"Cyclophosphamide, Methotrexate.",40.0,50.0,33.33333333333333
57265aaf5951b619008f706c,What are auricles?,"2 are covered in the remainder of this article. over windows and doorways, and massive proportions. either side of the mouth, many species of lobates have four auricles, gelatinous projections edged with cilia that produce water currents that help direct microscopic prey toward the mouth. This combination of structures enables lobates to feed continuously on suspended planktonic prey.","External parts of the human ear, visible on sides.",0.0,0.0,0.0
5726e3c4dd62a815002e9404,What do the services given by pharmacists provide?,"with patients, under the banner of ""senior care pharmacy."" is growing quickly to meet the needs of major national and international patient information projects and health system interoperability goals. Pharmacists in this area are trained to participate in medication management system development, deployment and optimization. to live outside of institutional settings. Some community pharmacies employ consultant pharmacists and/or provide consulting services.","Health advice, medication guidance, and disease management support.",42.10526315789474,50.0,36.36363636363637
5ad3f4ed604f3c001a3ff967,What is the aim of the additional stroke?,"2 are covered in the remainder of this article. bounded, some of these may be more powerful than others. which is equivalent to stating that the problem may be solved by mechanical application of mathematical steps, such as an algorithm.",To create a specific tone or musical effect.,0.0,0.0,0.0
5a0c7cb3f5590b0018dab42b,In 2000 who found evidence of a large settlement in the Amazon rain forest?,"of human management, rather than naturally occurring as has previously been supposed. In the region of the Xingu tribe, remains of some of these large settlements in the middle of the Amazon forest were found in 2003 by Michael Heckenberger and colleagues of the University of Florida. Among those were evidence of roads, bridges and large plazas. empires such as the Aztec Empire and the Incan Empire. after flying over Acre. The BBC's Unnatural Histories presented evidence that the Amazon rainforest, rather than being a pristine wilderness, has been shaped by man for at least 11,000 years through practices such as forest gardening and terra preta.","Jack Niedecken, a Peruvian explorer, made the discovery.",0.0,0.0,0.0
5730088e947a6a140053cfaf,Who was it essential to Islam to imitate?,"that Shia and other non-Wahhabi Muslims were infidels, etc. While this effort has by no means converted all, or even most Muslims to the Wahhabist interpretation of Islam, it has done much to overwhelm more moderate local interpretations, and has set the Saudi-interpretation of Islam as the ""gold standard"" of religion in minds of some or many Muslims. Fully Informed Jury Association's publication ""A Primer for Prospective Jurors"" notes, ""Think of the dilemma faced by German citizens when Hitler's secret police demanded to know if they were hiding a Jew in their house."" By this definition, civil disobedience could be traced back to the Book of Exodus, where Shiphrah and Puah refused a direct order of Pharaoh but misrepresented how they did it. and Persian Gulf state allies. Zia-ul-Haq was killed in 1988 but Islamization remains an important element in Pakistani society.",The Prophet Muhammad.,50.0,50.0,50.0
